Taxon,NAm_CAmUpper,CAmLower,Choco_Caribe,Andes,Amaz,LAnt_PR,Cuba_Jam_Cay,Hisp,Bah
equestris,0,0,0,0,0,0,1,0,0
fugitivus,0,0,0,0,0,0,1,0,0
garridoi,0,0,0,0,0,0,1,0,0
guafe,0,0,0,0,0,0,1,0,0
guamuhaha,0,0,0,0,0,0,1,0,0
guazuma,0,0,0,0,0,0,1,0,0
homolechis,0,0,0,0,0,0,1,0,0
imias,0,0,0,0,0,0,1,0,0
inexpectatus,0,0,0,0,0,0,1,0,0
isolepis,0,0,0,0,0,0,1,0,0
juangundlanchi,0,0,0,0,0,0,1,0,0
jubar,0,0,0,0,0,0,1,0,0
litoralis,0,0,0,0,0,0,1,0,0
loysianus,0,0,0,0,0,0,1,0,0
lucius,0,0,0,0,0,0,1,0,0
luteogularis,0,0,0,0,0,0,1,0,0
luteosignifer,0,0,0,0,0,0,1,0,0
macilentus,0,0,0,0,0,0,1,0,0
maynardi,0,0,0,0,0,0,1,0,0
mestrei,0,0,0,0,0,0,1,0,0
noblei,0,0,0,0,0,0,1,0,0
ophiolepis,0,0,0,0,0,0,1,0,0
oporinus,0,0,0,0,0,0,1,0,0
paternus,0,0,0,0,0,0,1,0,0
pigmaequestris,0,0,0,0,0,0,1,0,0
porcatus,0,0,0,0,0,0,1,0,0
porcus,0,0,0,0,0,0,1,0,0
pumilus,0,0,0,0,0,0,1,0,0
quadriocellifer,0,0,0,0,0,0,1,0,0
rejectus,0,0,0,0,0,0,1,0,0
rubribarbus,0,0,0,0,0,0,1,0,0
ruibali,0,0,0,0,0,0,1,0,0
sagrei,0,0,0,0,0,0,1,0,0
smallwoodi,0,0,0,0,0,0,1,0,0
spectrum,0,0,0,0,0,0,1,0,0
terueli,0,0,0,0,0,0,1,0,0
toldo,0,0,0,0,0,0,1,0,0
vanidicus,0,0,0,0,0,0,1,0,0
vermiculatus,0,0,0,0,0,0,1,0,0
vescus,0,0,0,0,0,0,1,0,0
aliniger,0,0,0,0,0,0,0,1,0
altavelensis,0,0,0,0,0,0,0,1,0
alumina,0,0,0,0,0,0,0,1,0
armouri,0,0,0,0,0,0,0,1,0
aurifer,0,0,0,0,0,0,0,1,0
bahorucoensis,0,0,0,0,0,0,0,1,0
baleatus,0,0,0,0,0,0,0,1,0
barahonae,0,0,0,0,0,0,0,1,0
barbouri,0,0,0,0,0,0,0,1,0
breslini,0,0,0,0,0,0,0,1,0
brevirostris,0,0,0,0,0,0,0,1,0
